Phrase,Niveau
J'aime voyager.,A1
J'aime voyager.,A1
Je veux voyager avec mes amis.,A1
J'aime voyager et découvrir de nouvelles choses.,A1
J'aime voyager et découvrir de nouveaux endroits.,A1
J'aime voyager!,A1
J'aimerais voyager autour du monde.,A1
J'aime voyager!,A1
J'aime voyager parce que je découvre de nouvelles choses.,A1
J'aime voyager.,A1
J'aime voyager.,A1
Je veux voyager pour découvrir le monde.,A1
"""Je veux voyager et voir le monde.""",A1
J'aime voyager.,A1
J'aime voyager !,A1
J'aimerais voyager à l'étranger.,A1
J'aime voyager.,A1
Je veux voyager pour voir de nouvelles choses.,A1
J'aime voyager.,A1
"J'aime voyager, c'est excitant !",A1
J'aime voyager et découvrir de nouveaux endroits.,A1
Je veux voyager autour du monde.,A1
J'aime voyager !,A1
J'aime voyager.,A1
J'aime voyager.,A1
J'aime voyager.,A1
J'aime voyager.,A1
Je veux voyager à travers le monde.,A1
Je veux voyager dans le monde.,A1
J'aime les voyages car je découvre de nouvelles choses.,A1
J'adore voyager !,A1
"""J'aime voyager!""",A1
Je veux voyager dans le monde.,A1
J'aime voyager et découvrir de nouveaux endroits.,A1
J'aime voyager !,A1
J'aime voyager.,A1
Je veux voyager et découvrir le monde.,A1
Je veux voyager et découvrir le monde.,A1
J'aime voyager.,A1
J'aime voyager car c'est amusant.,A1
J'aime voyager.,A1
J'aime voyager.,A1
Je veux voyager autour du monde.,A1
J'aime voyager car c'est passionnant.,A1
J'aimerais voyager autour du monde.,A1
J'aimerais voyager autour du monde.,A1
J'aime voyager!,A1
J'aime voyager.,A1
J'aime voyager !,A1
J'aime voyager.,A1
Je veux voyager autour du monde.,A1
J'aime voyager et découvrir de nouveaux endroits.,A1
"""J'aime voyager!""",A1
J'aime voyager et découvrir de nouveaux endroits.,A1
"""J'aime voyager, c'est très amusant"".",A1
J'aime voyager.,A1
J'aimerais faire un voyage.,A1
J'aime voyager !,A1
Je veux voyager autour du monde.,A1
J'aime voyager.,A1
J'aime voyager.,A1
J'aimerais voyager autour du monde.,A1
J'aime voyager dans le monde.,A1
Je veux voyager pour voir de nouveaux endroits.,A1
J'aime voyager.,A1
J'aime voyager !,A1
J'aime voyager.,A1
J'aime voyager et découvrir de nouveaux endroits.,A1
Je veux aller en voyage.,A1
J'aime voyager.,A1
Je veux voyager dans le monde.,A1
